case_id,city,date,weather,wind_speed,visibility,terrain_type,building_density,terrain_complexity,accident_cause,main_factor,description
ACC-001,Shenzhen,2023-05-12,小雨,8.5,3.0,城市密集区,0.8,7.5,GPS信号干扰导致失控，撞击建筑物,操作风险,多旋翼无人机在高层建筑群中飞行时GPS多路径效应导致定位漂移
ACC-002,Beijing,2023-08-20,大风,15.0,8.0,开阔地,0.1,2.0,强风导致侧翻坠毁,环境风险,固定翼无人机在阵风条件下失速坠毁
ACC-003,Shanghai,2024-01-15,雾,3.0,0.5,港口区,0.4,5.0,低能见度下视觉避障失效，碰撞起重机,混合,物流无人机在晨雾中执行配送任务时撞击港口设施
ACC-004,Chengdu,2023-11-03,多云,5.0,6.0,山区,0.2,8.5,复杂地形导致遥控信号丢失,环境风险,测绘无人机在丘陵地带飞行时因地势遮挡失联
ACC-005,Xi_an,2024-03-22,晴天,4.0,10.0,古建筑区,0.6,6.0,操作员误操作导致急降,操作风险,文旅无人机在拍摄古建筑时因操作失误坠落
ACC-006,Shenzhen,2023-07-18,雷阵雨,12.0,2.0,城市密集区,0.75,7.0,雷击导致飞控系统故障,环境风险,巡检无人机在雷暴天气中飞行被雷击坠毁
ACC-007,Shanghai,2023-09-10,大风,14.0,7.0,滨江区域,0.5,4.5,风切变导致高度控制失效,环境风险,外卖无人机跨江飞行时遭遇风切变坠江
ACC-008,Beijing,2024-02-05,雪,6.0,1.0,郊区,0.15,3.0,电池低温性能衰减导致断电,混合,农业无人机在雪天作业时因电池失能坠毁
ACC-009,Chengdu,2023-10-12,小雨,4.0,4.0,城市新区,0.55,5.5,避障雷达在雨中误检,混合,配送无人机因毫米波雷达雨雾误报触发紧急制动后失衡
ACC-010,Xi_an,2024-04-08,沙尘,9.0,2.5,郊区,0.1,2.5,沙尘进入电机导致停转,环境风险,测绘无人机在沙尘天气中电机故障坠毁
ACC-011,Shenzhen,2023-06-30,晴天,3.0,10.0,工业区,0.45,6.5,电磁干扰导致图传丢失,操作风险,巡检无人机在高压线附近飞行时受电磁干扰失控
ACC-012,Beijing,2023-12-25,大风,11.0,5.0,城市密集区,0.7,8.0,阵风导致碰撞高层建筑,混合,航拍无人机在楼宇间遭遇突风撞击玻璃幕墙
ACC-013,Shanghai,2024-05-20,多云,5.0,8.0,公园,0.05,2.0,操作员超视距飞行失控,操作风险,业余飞手违规超视距飞行导致无人机飞丢
ACC-014,Chengdu,2023-08-05,暴雨,10.0,1.5,山区,0.1,9.0,暴雨中视觉导航失效,环境风险,救援无人机在暴雨山洪环境中失联
ACC-015,Xi_an,2024-06-01,晴天,2.0,10.0,校园,0.3,4.0,起飞前未检查螺旋桨紧固,操作风险,教学无人机因螺旋桨松动起飞后解体
